,Movie_names,Release_dates,Ratings,Meta_scores,User_scores
456,Bus 174,"October 8, 2003", | R,83,7.6
457,Osama,"February 6, 2004", | PG-13,83,6.3
458,Amores Perros,"March 30, 2001", | R,83,5.3
459,The Gleaners & I,"March 7, 2001", | R,83,9.0
460,Apples,TBA, | Not Rated,83,tbd
461,The Salt of the Earth,"March 27, 2015", | PG-13,83,8.3
462,Glory,"April 12, 2017", | Not Rated,83,7.0
463,Rat Film,"September 15, 2017", | Not Rated,83,5.3
464,One Flew Over the Cuckoo's Nest,"November 19, 1975", | R,83,8.8
465,Office,"September 18, 2015", | Not Rated,83,6.0
466,Being There,"December 19, 1979", | TV-PG,83,8.0
467,Chop Shop,"February 27, 2008", | Unrated,83,7.7
468,Kiki's Delivery Service,"July 29, 1989", | G,83,8.6
469,Once Upon a Time ... in Hollywood,"July 26, 2019", | R,83,7.5
470,Raising Victor Vargas,"March 28, 2003", | R,83,6.3
471,Who Framed Roger Rabbit,"June 21, 1988", | PG,83,8.8
472,42nd Street,"March 11, 1933", | Passed,83,tbd
473,The Cave,"October 18, 2019", | PG-13,83,7.0
474,'71,"February 27, 2015", | R,83,7.5
475,The Guilty,"October 19, 2018", | Not Rated,83,8.1
476,Blackfish,"July 19, 2013", | PG-13,83,8.2
477,The Witch,"February 19, 2016", | R,83,7.3
478,Juliet of the Spirits (re-release),"May 18, 2001", | R,83,7.4
479,I Wish I Knew,"January 24, 2020", | Not Rated,83,tbd
480,Corpse Bride,"September 16, 2005", | PG,83,7.9
481,Project Nim,"July 8, 2011", | Not Rated,83,7.5
482,The Wind Rises,"November 8, 2013", | PG-13,83,8.3
483,Neil Young Trunk Show,"March 19, 2010", | PG-13,83,tbd
484,The Lighthouse,"October 18, 2019", | Not Rated,83,8.0
485,Spider-Man 2,"June 30, 2004", | PG-13,83,8.7
486,True Grit,"June 11, 1969", | M,83,tbd
487,Saint Frances,"February 28, 2020", | Not Rated,83,7.3
488,20 Feet from Stardom,"June 14, 2013", | PG-13,83,7.4
489,When We Were Kings,"October 25, 1996", | PG,83,8.9
490,Kurt Cobain: Montage of Heck,"April 24, 2015", | TV-MA,83,7.8
491,20th Century Women,"December 28, 2016", | R,83,7.4
492,My Name Is Albert Ayler,"November 8, 2007", | Not Rated,83,tbd
493,Paranoid Park,"March 7, 2008", | R,83,6.6
494,Pina,"December 23, 2011", | PG,83,7.2
495,Animal Kingdom,"August 13, 2010", | R,83,7.8
496,La Camioneta: The Journey of One American School Bus,"May 31, 2013", | Not Rated,83,tbd
497,Rosie,"July 19, 2019", | PG-13,83,6.3
498,A Room with a View,"April 1, 1986", | R,83,8.2
499,Hugo ,"November 23, 2011", | PG,83,7.7
