,Movie_names,Release_dates,Ratings,Meta_scores,User_scores
104,David Copperfield,"January 18, 1935", | Passed,91,tbd
105,Saving Private Ryan,"July 24, 1998", | TV-MA,91,8.9
106,After Hours,"September 13, 1985", | R,90,7.9
107,Her,"December 18, 2013", | R,90,8.6
108,The Crying Game,"November 25, 1992", | R,90,7.7
109,Great Expectations,"May 22, 1947", | Approved,90,tbd
110,Burning,"October 26, 2018", | Not Rated,90,7.8
111,Winter's Bone,"June 11, 2010", | R,90,7.3
112,Gett: The Trial of Viviane Amsalem,"February 13, 2015", | Not Rated,90,7.6
113,I Called Him Morgan,"March 24, 2017", | Not Rated,90,6.7
114,Close Encounters of the Third Kind,"November 16, 1977", | PG,90,7.8
115,The Godfather: Part II,"December 12, 1974", | R,90,9.0
116,The Hustler,"September 25, 1961", | TV-PG,90,8.9
117,L.A. Confidential,"September 19, 1997", | TV-MA,90,8.9
118,Bloody Sunday,"October 4, 2002", | R,90,8.5
119,My Voyage to Italy,"October 19, 2001", | PG-13,90,7.1
120,Phantom Thread,"December 25, 2017", | R,90,7.7
121,Gunda,"December 11, 2020", | G,90,tbd
122,Goodfellas,"September 1, 1990", | R,90,8.9
123,Hamilton,"July 3, 2020", | PG-13,90,7.8
124,Paths of the Soul,"May 13, 2016", | Not Rated,90,5.3
125,It's Such a Beautiful Day,"October 5, 2012", | Not Rated,90,8.9
126,My Perestroika,"March 23, 2011", | Not Rated,90,7.3
127,This Is Not a Film,"March 2, 2012", | Not Rated,90,6.3
128,The Birds,"March 29, 1963", | PG-13,90,8.3
129,Finding Nemo,"May 30, 2003", | G,90,8.7
130,Topsy-Turvy,"December 17, 1999", | R,90,7.9
131,Samurai Rebellion,"December 1, 1967", | Not Rated,90,tbd
132,King Kong,"April 7, 1933", | Passed,90,8.4
133,The Incredibles,"November 5, 2004", | PG,90,8.8
134,Before Sunset,"July 2, 2004", | R,90,8.7
135,Being John Malkovich,"October 29, 1999", | R,90,8.8
136,A Prophet,"February 26, 2010", | R,90,8.5
137,Hard to Be a God,"January 30, 2015", | Not Rated,90,5.4
138,Almost Famous,"September 13, 2000", | Unrated,90,6.9
139,Paths of Glory,"December 25, 1957", | TV-14,90,9.0
140,Cold War,"December 21, 2018", | R,90,7.9
141,Big Men,"March 14, 2014", | Not Rated,90,7.4
142,American Splendor,"August 15, 2003", | TV-MA,90,7.9
143,Hannah and Her Sisters,"February 1, 1986", | PG-13,90,8.0
144,The Circus,"January 1, 1929", | G,90,8.5
145,The Tale,"May 26, 2018", | TV-MA,90,7.2
146,Gosford Park,"December 26, 2001", | TV-MA,90,7.3
147,Dirty Harry,"December 23, 1971", | R,90,8.3
148,The Fits,"June 3, 2016", | Not Rated,90,6.7
149,Small Axe: Mangrove,"November 20, 2020", | Not Rated,90,6.9
150,Mad Max: Fury Road,"May 15, 2015", | R,90,8.6
151,United 93,"April 28, 2006", | R,90,7.6
152,Capturing the Friedmans,"May 30, 2003", | Not Rated,90,7.9
153,The Truman Show,"June 5, 1998", | PG,90,7.0
154,American Hustle,"December 13, 2013", | R,90,7.3
155,Paterson,"December 28, 2016", | R,90,7.9
156,Star Wars: Episode IV - A New Hope,"May 25, 1977", | PG,90,8.8
157,Persepolis,"December 25, 2007", | PG-13,90,8.7
158,The Age of Innocence,"September 17, 1993", | PG,90,8.0
159,Minding the Gap,"August 17, 2018", | Not Rated,90,8.2
160,The Best of Youth,"March 2, 2005", | R,89,8.8
161,The Overnighters,"October 10, 2014", | PG-13,89,7.5
162,The Lives of Others,"December 1, 2006", | R,89,8.9
163,Two-Lane Blacktop,"July 7, 1971", | R,89,tbd
164,House of Flying Daggers,"December 3, 2004", | PG-13,89,9.1
165,63 Up,"November 27, 2019", | Not Rated,89,tbd
166,Treasure Island,"July 19, 1950", | Approved,89,tbd
167,Lost in Translation,"September 12, 2003", | R,89,7.6
168,Blue Is the Warmest Color,"October 25, 2013", | NC-17,89,7.8
169,Searching for Bobby Fischer,"August 11, 1993", | PG,89,8.7
170,The Human Voice,TBA, | Not Rated,89,tbd
171,Assault on Precinct 13,"November 5, 1976", | R,89,7.2
172,Man on Wire,"July 25, 2008", | PG-13,89,8.3
173,For Sama,"July 26, 2019", | Not Rated,89,7.5
174,Howards End,"March 13, 1992", | PG,89,8.2
175,Force of Evil,"March 1, 1949", | Passed,89,tbd
176,Still Walking,"August 21, 2009", | Passed,89,8.7
177,Gangs of Wasseypur,"January 16, 2015", | R,89,8.7
178,The Last Detail,"December 12, 1973", | R,89,7.8
179,When the Levees Broke: A Requiem in Four Acts,"August 21, 2006", | TV-MA,89,tbd
180,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,"November 3, 2006", | R,89,7.4
181,Barry Lyndon,"December 18, 1975", | PG,89,8.8
182,The Farewell,"July 12, 2019", | Not Rated,89,8.3
183,Elle,"November 11, 2016", | R,89,7.3
184,The Tale of The Princess Kaguya,"October 17, 2014", | PG,89,8.6
185,Uncertain,"March 10, 2017", | Not Rated,89,8.5
186,"Two Days, One Night","December 24, 2014", | PG-13,89,8.5
187,National Gallery,"November 5, 2014", | Not Rated,89,tbd
188,Eighth Grade,"July 13, 2018", | R,89,8.0
189,A Star Is Born,"October 16, 1954", | Passed,89,8.5
190,No End in Sight,"July 27, 2007", | Passed,89,8.2
191,It's a Wonderful Life,"January 7, 1947", | Approved,89,9.2
192,The Madness of King George,"December 28, 1994", | PG-13,89,7.5
193,Phoenix,"July 24, 2015", | PG-13,89,7.8
194,Goodbye Solo,"March 27, 2009", | R,89,7.5
195,Western,"September 25, 2015", | Not Rated,89,7.1
196,Stop Making Sense,"October 18, 1984", | Not Rated,89,8.7
197,Deep Red,"June 11, 1976", | Not Rated,89,8.1
198,Downhill Racer,"November 7, 1969", | PG,89,8.0
199,Alien,"June 22, 1979", | R,89,9.0
200,The Missing Picture,"October 4, 2013", | Not Rated,87,7.5
201,"I Travel Because I Have to, I Come Back Because I Love You","March 25, 2011", | Not Rated,87,7.6
202,The Invisible Man,"November 13, 1933", | TV-PG,87,7.1
203,Scarface,"April 9, 1932", | Passed,87,tbd
204,Of Men and War,"November 6, 2015", | Not Rated,87,8.3
205,The Long Goodbye,"March 7, 1973", | R,87,7.8
206,Imitation of Life,"March 18, 1959", | TV-PG,87,tbd
207,Pain and Glory,"October 4, 2019", | Not Rated,87,8.0
208,Genèse (Genesis),"August 23, 2019", | Not Rated,87,tbd
209,The Farthest,"August 11, 2017", | Not Rated,87,6.7
210,Gomorrah,"February 13, 2009", | Not Rated,87,7.2
211,To Be and to Have,"September 19, 2003", | Not Rated,87,7.7
212,Halloween,"October 25, 1978", | R,87,8.8
213,Eraserhead,"February 3, 1978", | Not Rated,87,7.9
214,Medium Cool,"August 27, 1969", | R,87,tbd
215,Fire at Sea,"October 21, 2016", | Not Rated,87,6.8
216,The Fugitive,"August 6, 1993", | PG-13,87,8.8
217,F for Fake,"September 27, 1975", | PG,87,tbd
218,About Elly (2009),"April 8, 2015", | Not Rated,87,8.7
219,The Bridge on the River Kwai,"December 14, 1957", | TV-PG,87,8.5
220,Goldfinger,"January 9, 1965", | GP,87,8.4
221,One False Move,"May 8, 1992", | R,87,7.6
222,En el Séptimo Día (On the Seventh Day),"June 8, 2018", | Not Rated,87,tbd
223,Jane,"October 20, 2017", | PG,87,8.3
224,Jaws,"June 20, 1975", | PG,87,8.7
225,We Are the Best!,"May 30, 2014", | Not Rated,87,7.6
226,Spartacus,"October 19, 1960", | Approved,87,8.4
227,Back to the Future,"July 3, 1985", | PG,87,9.0
228,If Beale Street Could Talk,"December 14, 2018", | R,87,7.1
229,My Journey Through French Cinema,"June 23, 2017", | Not Rated,87,tbd
230,Wallace & Gromit: The Curse of the Were-Rabbit,"October 5, 2005", | G,87,8.2
231,The Diary of a Teenage Girl,"August 7, 2015", | R,87,6.5
232,Elena,"May 18, 2012", | Not Rated,87,7.4
233,All Is Lost,"October 18, 2013", | PG-13,87,6.7
234,Hereditary,"June 8, 2018", | R,87,7.2
235,Listen to Me Marlon,"July 29, 2015", | Not Rated,87,8.3
236,Gideon's Army,"June 28, 2013", | Not Rated,87,8.5
237,Serpico (re-release),"August 6, 2004", | R,87,8.5
238,Maria Full of Grace,"July 16, 2004", | R,87,2.5
239,Fateless,"January 6, 2006", | R,87,7.6
240,Happy as Lazzaro,"November 30, 2018", | Not Rated,87,7.9
241,The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,"December 19, 2003", | PG-13,87,8.6
242,Uncle Boonmee Who Can Recall His Past Lives,"March 4, 2011", | Not Rated,87,7.1
243,Brokeback Mountain,"December 9, 2005", | R,87,8.3
244,Cemetery of Splendor,"March 4, 2016", | Not Rated,87,6.5
245,The Kid with a Bike,"March 16, 2012", | Not Rated,87,7.5
246,Mutiny on the Bounty,"November 8, 1935", | Passed,87,tbd
247,Spider-Man: Into the Spider-Verse,"December 14, 2018", | PG,87,8.8
